,id,type,PlanArea,Longitude,Latitude,YearBuilt,NumberOfStories,RoofShape,DWSII,BuildingType,OccupancyClass,MeanRoofHt,RoofSlope,geometry
295,,,,,,,,Flat,167,Wood,RES3,,1.05,
296,,,,,,,,Flat,167,Wood,RES3,,1.05,
297,,,,,,,,Flat,167,Wood,RES3,,1.05,
298,,,,,,,,Flat,167,Wood,RES3,,1.05,
299,,,,,,,,Flat,167,Wood,RES3,,1.05,
300,,,,,,,,Flat,167,Wood,RES3,,1.05,
301,,,,,,,,Flat,167,Wood,RES3,,1.05,
302,,,,,,,,Flat,167,Wood,RES3,,1.05,
303,,,,,,,,Flat,167,Wood,RES3,,1.05,
304,,,,,,,,Flat,167,Wood,RES3,,1.05,
305,,,,,,,,Flat,167,Wood,RES3,,1.05,
306,,,,,,,,Flat,167,Wood,RES3,,1.05,
307,,,,,,,,Flat,167,Wood,RES3,,1.05,
308,,,,,,,,Flat,167,Wood,RES3,,1.05,
309,,,,,,,,Flat,167,Wood,RES3,,1.05,
310,,,,,,,,Flat,167,Wood,RES3,,1.05,
311,,,,,,,,Flat,167,Wood,RES3,,1.05,
312,,,,,,,,Flat,167,Wood,RES3,,1.05,
313,,,,,,,,Flat,167,Wood,RES3,,1.05,
314,,,,,,,,Flat,167,Wood,RES3,,1.05,
315,,,,,,,,Flat,167,Wood,RES3,,1.05,
316,,,,,,,,Flat,167,Wood,RES3,,1.05,
317,,,,,,,,Flat,167,Wood,RES3,,1.05,
318,,,,,,,,Flat,167,Wood,RES3,,1.05,
319,,,,,,,,Flat,167,Wood,RES3,,1.05,
320,,,,,,,,Flat,167,Wood,RES3,,1.05,
321,,,,,,,,Flat,167,Wood,RES3,,1.05,
322,,,,,,,,Flat,167,Wood,RES3,,1.05,
323,,,,,,,,Flat,167,Wood,RES3,,1.05,
324,,,,,,,,Flat,167,Wood,RES3,,1.05,
325,,,,,,,,Flat,167,Wood,RES3,,1.05,
326,,,,,,,,Flat,167,Wood,RES3,,1.05,
327,,,,,,,,Flat,167,Wood,RES3,,1.05,
328,,,,,,,,Flat,167,Wood,RES3,,1.05,
329,,,,,,,,Flat,167,Wood,RES3,,1.05,
330,,,,,,,,Flat,167,Wood,RES3,,1.05,
331,,,,,,,,Flat,167,Wood,RES3,,1.05,
332,,,,,,,,Flat,167,Wood,RES3,,1.05,
333,,,,,,,,Flat,167,Wood,RES3,,1.05,
334,,,,,,,,Flat,167,Wood,RES3,,1.05,
335,,,,,,,,Flat,167,Wood,RES3,,1.05,
336,,,,,,,,Flat,167,Wood,RES3,,1.05,
337,,,,,,,,Flat,167,Wood,RES3,,1.05,
338,,,,,,,,Flat,167,Wood,RES3,,1.05,
339,,,,,,,,Flat,167,Wood,RES3,,1.05,
340,,,,,,,,Flat,167,Wood,RES3,,1.05,
341,,,,,,,,Flat,167,Wood,RES3,,1.05,
342,,,,,,,,Flat,167,Wood,RES3,,1.05,
343,,,,,,,,Flat,167,Wood,RES3,,1.05,
344,,,,,,,,Flat,167,Wood,RES3,,1.05,
345,,,,,,,,Flat,167,Wood,RES3,,1.05,
346,,,,,,,,Flat,167,Wood,RES3,,1.05,
347,,,,,,,,Flat,167,Wood,RES3,,1.05,
348,,,,,,,,Flat,167,Wood,RES3,,1.05,
349,,,,,,,,Flat,167,Wood,RES3,,1.05,
350,,,,,,,,Flat,167,Wood,RES3,,1.05,
351,,,,,,,,Flat,167,Wood,RES3,,1.05,
352,,,,,,,,Flat,167,Wood,RES3,,1.05,
353,,,,,,,,Flat,167,Wood,RES3,,1.05,
354,,,,,,,,Flat,167,Wood,RES3,,1.05,
355,,,,,,,,Flat,167,Wood,RES3,,1.05,
356,,,,,,,,Flat,167,Wood,RES3,,1.05,
357,,,,,,,,Flat,167,Wood,RES3,,1.05,
358,,,,,,,,Flat,167,Wood,RES3,,1.05,
359,,,,,,,,Flat,167,Wood,RES3,,1.05,
360,,,,,,,,Flat,167,Wood,RES3,,1.05,
361,,,,,,,,Flat,167,Wood,RES3,,1.05,
362,,,,,,,,Flat,167,Wood,RES3,,1.05,
363,,,,,,,,Flat,167,Wood,RES3,,1.05,
364,,,,,,,,Flat,167,Wood,RES3,,1.05,
365,,,,,,,,Flat,167,Wood,RES3,,1.05,
366,,,,,,,,Flat,167,Wood,RES3,,1.05,
367,,,,,,,,Flat,167,Wood,RES3,,1.05,
368,,,,,,,,Flat,167,Wood,RES3,,1.05,
369,,,,,,,,Flat,167,Wood,RES3,,1.05,
370,,,,,,,,Flat,167,Wood,RES3,,1.05,
371,,,,,,,,Flat,167,Wood,RES3,,1.05,
372,,,,,,,,Flat,167,Wood,RES3,,1.05,
373,,,,,,,,Flat,167,Wood,RES3,,1.05,
374,,,,,,,,Flat,167,Wood,RES3,,1.05,
375,,,,,,,,Flat,167,Wood,RES3,,1.05,
376,,,,,,,,Flat,167,Wood,RES3,,1.05,
377,,,,,,,,Flat,167,Wood,RES3,,1.05,
378,,,,,,,,Flat,167,Wood,RES3,,1.05,
379,,,,,,,,Flat,167,Wood,RES3,,1.05,
380,,,,,,,,Flat,167,Wood,RES3,,1.05,
381,,,,,,,,Flat,167,Wood,RES3,,1.05,
382,,,,,,,,Flat,167,Wood,RES3,,1.05,
383,,,,,,,,Flat,167,Wood,RES3,,1.05,
384,,,,,,,,Flat,167,Wood,RES3,,1.05,
385,,,,,,,,Flat,167,Wood,RES3,,1.05,
386,,,,,,,,Flat,167,Wood,RES3,,1.05,
387,,,,,,,,Flat,167,Wood,RES3,,1.05,
388,,,,,,,,Flat,167,Wood,RES3,,1.05,
389,,,,,,,,Flat,167,Wood,RES3,,1.05,
390,,,,,,,,Flat,167,Wood,RES3,,1.05,
391,,,,,,,,Flat,167,Wood,RES3,,1.05,
392,,,,,,,,Flat,167,Wood,RES3,,1.05,
393,,,,,,,,Flat,167,Wood,RES3,,1.05,
394,,,,,,,,Flat,167,Wood,RES3,,1.05,
395,,,,,,,,Flat,167,Wood,RES3,,1.05,
396,,,,,,,,Flat,167,Wood,RES3,,1.05,
397,,,,,,,,Flat,167,Wood,RES3,,1.05,
398,,,,,,,,Flat,167,Wood,RES3,,1.05,
399,,,,,,,,Flat,167,Wood,RES3,,1.05,
400,,,,,,,,Flat,167,Wood,RES3,,1.05,
401,,,,,,,,Flat,167,Wood,RES3,,1.05,
402,,,,,,,,Flat,167,Wood,RES3,,1.05,
403,,,,,,,,Flat,167,Wood,RES3,,1.05,
404,,,,,,,,Flat,167,Wood,RES3,,1.05,
405,,,,,,,,Flat,167,Wood,RES3,,1.05,
406,,,,,,,,Flat,167,Wood,RES3,,1.05,
407,,,,,,,,Flat,167,Wood,RES3,,1.05,
408,,,,,,,,Flat,167,Wood,RES3,,1.05,
409,,,,,,,,Flat,167,Wood,RES3,,1.05,
410,,,,,,,,Flat,167,Wood,RES3,,1.05,
